All Spare Parts /SNo,All Spare Parts /Item,All Spare Parts /Current Location,All Spare Parts /New Location,All Spare Parts /Status,All Spare Parts /Unit
1,RFID: Printer Spare Cutter Kit (CL4NX),7SP-AL06- UP,,Yes,Pcs
2,Power Supply- Sato CL6nx printer,7SP-AL06- UP,,No,Pcs
3,MU Data-4,7SP-AL06- UP,,Found Extra,
4,Transformer Divice,7SP-AL06- UP,,Found Extra,
5,MP-Board,7SP-AL06- UP,,Found Extra,
6,M/C Controll Board,7SP-AL06- UP,,Found Extra,
7,USB-Divice,7SP-AL06- UP,,Found Extra,
8,Flopy Dise Drive,7SP-AL06- UP,,Found Extra,
9,All type of card,7SP-AL06- UP,,Found Extra,
10,Motor Drive HK (old),7SP-AL06- UP,,Found Extra,
11,Motor Drive polar Cut,7SP-AL06- UP,,Found Extra,
12,Molor Drive KY,7SP-AL06- UP,,Found Extra,
13,Display AMC,7SP-AL06- UP,,Found Extra,
14,w3,7SP-AL06- UP,,Found Extra,
15,Display Cutter Tine M/C#3/4,7SP-AL06- UP,,Found Extra,
16,Roller Motorb Katana,7SP-AL06- UP,,Found Extra,
17,"Thermal Head (4"")",7SP-AL06-641,,Found Extra,
18,Platen Roller Mercury-5211023,7SP-AL06-641,,Found Extra,
19,"One Touch Guide 4"" Mercury",7SP-AL06-641,,Found Extra,
20,"Tape Guide Ring-4""",7SP-AL06-641,,Found Extra,
21,"2"" Platen Roller Back-5211068 Mercury",7SP-AL06-641,,Found Extra,
22,"Platen Roller Kit QLS 2/3, 26390700",7SP-AL06-641,,Found Extra,
23,CUTTER BLADE UPPER (5211078),7SP-AL06-641,,Found Extra,
24,CUTTER BLADE BOTTOM (5211079),7SP-AL06-641,,Found Extra,
25,CAM POSITIONI NG CUTTER (5113031),7SP-AL06-641,,Found Extra,
26,Cutter Set CL412E (CTM408) - Sato,7SP-AL06-641,,Yes,Pcs
27,"Cutter Unit-5113001 (4"") -Mercury",7SP-AL06-641,,No,Pcs
28,"Head For Mcrcury-5990001 (4"")",7SP-AL06-641,,No,Pcs
29,"Head For Mcrcury-5990003 (2"")",7SP-AL06-641,,No,Pcs
30,Printer Head (Sato 24DPMM GT424E),7SP-AL06-641,,Yes,Pcs
31,Printer Head (Sato-GL412E),7SP-AL06-641,,No,Pcs
32,Printer Head (Toshiba SX4T - 203 DPI),7SP-AL06-641,,Yes,Pcs
33,"Thermal Head (2"")",7SP-AL06-641,,Yes,Pcs
34,Handheld Detector With Deactivator (EAS AM-Frequency:58Khz),7SP-AL06-641,,Yes,Pcs
35,Handheld Detector With Deactivator (EAS RF-Frequency:8.2Mhz),7SP-AL06-641,,Yes,Pcs
36,"Platen Roller Back Side-5211037 (5"")",7SP-AL06-641,,Yes,Pcs
37,"Platen Roller-5211017 (5"")",7SP-AL06-641,,Yes,Pcs
38,Printer Head (Sato-CL6NX),7SP-AL06-641,,No,Pcs
39,Printer Head 06 Inch-(TSC 366M),7SP-AL06-641,,No,Pcs
40,Printer Roller (Sato-CL6NX),7SP-AL06-641,,Yes,Pcs
41,Sato Printer Cable -R28428000-LF,7SP-AL06-641,,Yes,Pcs
42,TSC Motor (DC) 65-0410003-10LF TTP,7SP-AL06-641,,Yes,Pcs
43,RFID: Printer Roller (Sato-CL4NX),7SP-AL06-641,,Yes,Pcs
44,Platen Roller Kit QLS2/3,7SP-AL06-641,,No,Pcs
45,Printer Head (Sato-CL412E),7SP-AL06-641,,No,Pcs
46,RFID: Printer Head (Sato-CL4NX),7SP-AL06-641,,No,Pcs
47,RFID: Printer Head (Sato-CL4NX) 600 DPI,7SP-AL06-641,,No,pcs
48,"One Touch guide- (4"") -Mercury ",7SP-AL06-642,,No,pcs
49,"Tape guide Rung- (4"") -Mercury ",7SP-AL06-642,,No,pcs
50,Black Mark Sonsor ( Mercury),7SP-AL06-642,,Yes,Pcs
51,Cutter Part Belt (120mm) -Mercury,7SP-AL06-642,,No,Pcs
52,Cutter Solenoid-5113030 -Mercury,7SP-AL06-642,,Yes,Pcs
53,Eject Upper Roller Part-5211010 -Mercury,7SP-AL06-642,,No,Pcs
54,Mcrcury Green Belt 170mm,7SP-AL06-642,,Yes,Pcs
55,Mcrcury Green Belt 233mm,7SP-AL06-642,,Yes,Pcs
56,Rotometrics,7SP-AL06-642,,Found Extra,
57,Printer Head 06 Inch-(TSC 366M),7SP-AL06-642,,Found Extra,
